Category,DayOfWeek,Date,Time,X,Y
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Tuesday,1/1/2013,12:18,37.68751015,-122.0628006
BURGLARY,Tuesday,1/1/2013,16:15,37.68529751,-122.0714163
BURGLARY - VEHICLE,Tuesday,1/1/2013,17:33,37.70188135,-122.1299668
THEFT OF PERSONAL PROPERTY,Tuesday,1/1/2013,22:41,37.6966287,-122.0711538
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Tuesday,1/1/2013,22:41,37.70272459,-122.0849366
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Tuesday,1/1/2013,16:00,37.68614896,-122.0765797
DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,Tuesday,1/1/2013,16:00,37.7077062,-122.1022225
DUI ALCOHOL/0.08 PERCENT,Tuesday,1/1/2013,16:00,37.69177401,-122.0899627
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,16:00,37.69177401,-122.0899627
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,16:00,37.68849117,-122.0955591
VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,Tuesday,1/1/2013,16:00,37.69825096,-122.0809513
72 HOUR MENTAL HEALTH,Tuesday,1/1/2013,23:33,37.69814095,-122.0872598
FOUND PROPERTY,Tuesday,1/1/2013,23:33,37.6966287,-122.0711538
72 HOUR MENTAL HEALTH,Tuesday,1/1/2013,23:33,37.69805847,-122.0773975
72 HOUR MENTAL HEALTH,Tuesday,1/1/2013,23:33,37.69814095,-122.0872598
72 HOUR MENTAL HEALTH,Tuesday,1/1/2013,9:00,37.68087696,-122.0749726
FORCE OR ADW NOT FIREARM:GBI LIKELY,Tuesday,1/1/2013,9:00,37.67022897,-122.1162557
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,Tuesday,1/1/2013,9:00,37.68637816,-122.1063978
BATTERY ON PERSON,Tuesday,1/1/2013,9:00,37.67022897,-122.1162557
BURGLARY - VEHICLE,Tuesday,1/1/2013,9:00,37.68404603,-122.0454804
THEFT OF PERSONAL PROPERTY,Tuesday,1/1/2013,10:30,37.68544792,-122.0557108
POSSESS NARCOTIC CONTROLLED SUBSTANCE,Tuesday,1/1/2013,10:30,37.68637816,-122.1063978
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Tuesday,1/1/2013,10:30,37.68637816,-122.1063978
DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,Tuesday,1/1/2013,10:30,37.67022897,-122.1162557
DUI ALCOHOL/0.08 PERCENT,Tuesday,1/1/2013,16:00,37.61097355,-122.0670392
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,16:00,37.61097355,-122.0670392
DISORDERLY CONDUCT:ALCOHOL,Tuesday,1/1/2013,9:00,37.66612841,-122.1108395
VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,Tuesday,1/1/2013,16:33,37.66612841,-122.1108395
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Tuesday,1/1/2013,16:00,37.67022897,-122.1162557
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Tuesday,1/1/2013,15:30,37.68637816,-122.1063978
HIT AND RUN RESULTING IN DEATH OR INJURY,Tuesday,1/1/2013,11:53,37.67548013,-122.1111259
VIOLATION OF PROBATION MISDEMEANOR,Tuesday,1/1/2013,11:53,37.68637816,-122.1063978
72 HOUR MENTAL HEALTH,Tuesday,1/1/2013,18:17,37.67220693,-122.104976
ARREST WARRANT - MISD,Tuesday,1/1/2013,18:17,37.67022897,-122.1162557
DRIVER UNLICENSED,Tuesday,1/1/2013,18:17,37.67548013,-122.1111259
RECKLESS DRIVING W/INJ,Tuesday,1/1/2013,18:17,37.67548013,-122.1111259
INCIDENT REPORT,Tuesday,1/1/2013,2:58,37.6923644,-122.0378329
SUSPICIOUS CIRCUMSTANCES,Tuesday,1/1/2013,2:58,37.67998197,-122.0953527
A PERSON WILLFULLY FLEES OR ATEMPTS TO ELUDE AN OFFICER,Tuesday,1/1/2013,2:58,37.67548013,-122.1111259
DRIVE WHILE LIC SUSP DUI,Tuesday,1/1/2013,22:31,37.61097355,-122.0670392
RECOVERED STOLEN AUTO - OUTSIDE AGENCY,Tuesday,1/1/2013,16:00,37.67118498,-122.1138131
INCIDENT REPORT,Tuesday,1/1/2013,17:30,37.71230115,-121.5778198
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Tuesday,1/1/2013,14:40,37.69901141,-122.1033884
BURGLARY - VEHICLE,Tuesday,1/1/2013,14:40,37.69224937,-122.096484
POSSESS CONTROLLED SUBSTANCE,Tuesday,1/1/2013,14:40,37.70522221,-122.1300292
POSSESS NARCOTIC CONTROLLED SUBSTANCE,Tuesday,1/1/2013,0:01,37.69902235,-122.1066053
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Tuesday,1/1/2013,18:30,37.71314391,-122.1398064
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Tuesday,1/1/2013,13:04,37.70188135,-122.1299668
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Tuesday,1/1/2013,14:39,37.69673736,-122.1111563
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,0:05,37.69037347,-122.1074684
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,17:59,37.70188135,-122.1299668
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,12:15,37.69037347,-122.1074684
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,7:00,37.69902235,-122.1066053
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,7:22,37.70522221,-122.1300292
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,9:21,37.73592327,-122.164196
DUI ALCOHOL/DRUGS,Tuesday,1/1/2013,0:01,37.71314391,-122.1398064
DISORDERLY CONDUCT:ALCOHOL,Tuesday,1/1/2013,0:12,37.69673736,-122.1111563
ARREST WARRANT - FEL,Tuesday,1/1/2013,0:12,37.70522221,-122.1300292
LICENSE SUSPENDED/REVOKED,Tuesday,1/1/2013,0:48,37.69037347,-122.1074684
DRIVER UNLICENSED,Tuesday,1/1/2013,0:20,37.71314391,-122.1398064
OUTSIDE WARRANT-MISD,Tuesday,1/1/2013,0:39,37.69998839,-122.1074947
ARREST WARRANT - FEL,Tuesday,1/1/2013,0:39,37.69932669,-122.1101788
FOUND PROPERTY,Tuesday,1/1/2013,0:04,37.7098909,-122.1229672
LICENSE SUSPENDED/REVOKED,Tuesday,1/1/2013,0:04,37.70188135,-122.1299668
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Tuesday,1/1/2013,1:00,37.69398118,-122.1234782
BURGLARY - VEHICLE,Tuesday,1/1/2013,1:00,37.69298689,-122.1290755
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Tuesday,1/1/2013,1:38,37.69264499,-122.1127596
INCIDENT REPORT,Tuesday,1/1/2013,1:20,37.67062181,-122.1303542
WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,Wednesday,1/2/2013,1:20,37.71215555,-122.0810857
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Wednesday,1/2/2013,1:10,37.71215555,-122.0810857
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Wednesday,1/2/2013,1:10,37.70661583,-122.0705583
BURGLARY,Wednesday,1/2/2013,1:10,37.69021361,-122.0746752
BURGLARY - VEHICLE,Wednesday,1/2/2013,1:30,37.68932776,-122.0642818
BURGLARY - VEHICLE,Wednesday,1/2/2013,1:35,37.69469847,-122.0604903
BURGLARY - VEHICLE,Wednesday,1/2/2013,1:30,37.69510958,-122.0621113
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Wednesday,1/2/2013,1:50,37.7337276,-122.0574129
VANDALISM:DAMAGE PROPERTY,Wednesday,1/2/2013,1:45,37.70226157,-122.0885662
VANDALISM:DAMAGE PROPERTY,Wednesday,1/2/2013,1:37,37.70283057,-122.0714672
