Date,PdDistrict,X,Y
1/5/13,BAYVIEW,-122.3977798,37.75396976
4/15/13,INGLESIDE,-122.431295,37.72872979
3/24/13,SOUTHERN,-122.4036752,37.77517751
2/13/13,NORTHERN,-122.4362753,37.80081266
2/13/13,NORTHERN,-122.4362753,37.80081266
2/20/13,SOUTHERN,-122.4036752,37.77517751
2/20/13,SOUTHERN,-122.4036752,37.77517751
2/20/13,SOUTHERN,-122.4036752,37.77517751
2/20/13,SOUTHERN,-122.4036752,37.77517751
2/20/13,SOUTHERN,-122.4036752,37.77517751
2/20/13,SOUTHERN,-122.4036752,37.77517751
1/18/13,SOUTHERN,-122.4036752,37.77517751
1/18/13,SOUTHERN,-122.4036752,37.77517751
1/18/13,SOUTHERN,-122.4036752,37.77517751
1/18/13,SOUTHERN,-122.4036752,37.77517751
4/5/13,CENTRAL,-122.4160641,37.7883095
4/5/13,CENTRAL,-122.4160641,37.7883095
4/5/13,CENTRAL,-122.4160641,37.7883095
1/14/13,RICHMOND,-122.4581813,37.78382787
1/14/13,RICHMOND,-122.4581813,37.78382787
2/25/13,SOUTHERN,-122.4036752,37.77517751
2/25/13,SOUTHERN,-122.4036752,37.77517751
2/25/13,SOUTHERN,-122.4036752,37.77517751
2/25/13,SOUTHERN,-122.4036752,37.77517751
2/8/13,CENTRAL,-122.4124812,37.79159204
2/8/13,CENTRAL,-122.4124812,37.79159204
3/8/13,NORTHERN,-122.4192699,37.79171323
4/9/13,RICHMOND,-122.5072913,37.77528921
2/8/13,CENTRAL,-122.4124812,37.79159204
3/13/13,TENDERLOIN,-122.4107688,37.78321452
4/15/13,SOUTHERN,-122.403743,37.7752317
4/15/13,SOUTHERN,-122.403743,37.7752317
2/2/13,NORTHERN,-122.4219495,37.78848815
2/2/13,NORTHERN,-122.4219495,37.78848815
2/2/13,NORTHERN,-122.4219495,37.78848815
2/2/13,NORTHERN,-122.4219495,37.78848815
4/9/13,TENDERLOIN,-122.414243,37.78372403
4/9/13,TENDERLOIN,-122.414243,37.78372403
4/9/13,TENDERLOIN,-122.414243,37.78372403
4/8/13,INGLESIDE,-122.4219291,37.74236662
2/8/13,CENTRAL,-122.4124812,37.79159204
1/8/13,TARAVAL,-122.466056,37.71406865
2/19/13,TENDERLOIN,-122.4147697,37.7786849
2/19/13,TENDERLOIN,-122.4147697,37.7786849
2/19/13,TENDERLOIN,-122.4147697,37.7786849
2/13/13,RICHMOND,-122.4823262,37.77709227
1/12/13,INGLESIDE,-122.4229085,37.73309387
1/21/13,NORTHERN,-122.4199301,37.78682621
2/28/13,PARK,-122.4532055,37.7672871
3/7/13,SOUTHERN,-122.4036752,37.77517751
3/24/13,SOUTHERN,-122.4036752,37.77517751
2/22/13,BAYVIEW,-122.3874118,37.72536437
1/10/13,INGLESIDE,-122.4374615,37.72116508
1/9/13,INGLESIDE,-122.408022,37.74420592
1/18/13,BAYVIEW,-122.3984277,37.75337792
1/1/13,SOUTHERN,-122.3991523,37.79101661
1/1/13,MISSION,-122.4352262,37.76269051
1/1/13,MISSION,-122.4352262,37.76269051
1/1/13,BAYVIEW,-122.3895882,37.73795727
1/1/13,CENTRAL,-122.4048645,37.80641646
1/1/13,SOUTHERN,-122.3991523,37.79101661
1/1/13,SOUTHERN,-122.3991523,37.79101661
1/1/13,MISSION,-122.4165292,37.7555953
1/1/13,MISSION,-122.4165292,37.7555953
1/1/13,CENTRAL,-122.4011291,37.79305866
1/1/13,SOUTHERN,-122.4058325,37.78574465
1/1/13,SOUTHERN,-122.4095216,37.77455175
1/1/13,SOUTHERN,-122.4074927,37.783487
1/1/13,SOUTHERN,-122.4074927,37.783487
1/1/13,SOUTHERN,-122.4058325,37.78574465
1/1/13,SOUTHERN,-122.4058325,37.78574465
1/1/13,SOUTHERN,-122.4058325,37.78574465
1/1/13,NORTHERN,-122.4318653,37.77982456
1/1/13,CENTRAL,-122.4035919,37.80541292
1/1/13,CENTRAL,-122.3953057,37.79669606
1/1/13,SOUTHERN,-122.3963054,37.7932572
1/1/13,SOUTHERN,-122.4094475,37.77433897
1/1/13,RICHMOND,-122.4624048,37.78286111
1/1/13,RICHMOND,-122.4624048,37.78286111
1/1/13,INGLESIDE,-122.428806,37.71971115
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,CENTRAL,-122.3964054,37.79392799
1/1/13,MISSION,-122.407196,37.75931803
1/1/13,CENTRAL,-122.4137458,37.80843867
1/1/13,MISSION,-122.4140663,37.75271998
1/1/13,MISSION,-122.4140663,37.75271998
1/1/13,MISSION,-122.4140663,37.75271998
1/1/13,CENTRAL,-122.401135,37.79302402
1/1/13,CENTRAL,-122.4084609,37.78877328
1/1/13,BAYVIEW,-122.3895882,37.73795727
1/1/13,BAYVIEW,-122.3895882,37.73795727
1/1/13,BAYVIEW,-122.3895882,37.73795727
1/1/13,INGLESIDE,-122.4331211,37.71666118
1/1/13,TENDERLOIN,-122.4078542,37.7854922
1/1/13,TENDERLOIN,-122.4078542,37.7854922
1/1/13,TENDERLOIN,-122.4078542,37.7854922
1/1/13,CENTRAL,-122.4078716,37.79869627
1/1/13,SOUTHERN,-122.3940498,37.79507991
1/1/13,CENTRAL,-122.4084039,37.78829339
1/1/13,CENTRAL,-122.4069004,37.78893422
1/1/13,SOUTHERN,-122.3971205,37.787729
1/1/13,SOUTHERN,-122.4078675,37.77768641
1/1/13,SOUTHERN,-122.4078675,37.77768641
1/1/13,SOUTHERN,-122.4078675,37.77768641
1/1/13,SOUTHERN,-122.4078675,37.77768641
1/1/13,BAYVIEW,-122.4056423,37.73240993
1/1/13,SOUTHERN,-122.4047274,37.78657351
1/1/13,CENTRAL,-122.404382,37.79265967
1/1/13,SOUTHERN,-122.4120174,37.78092123
1/1/13,NORTHERN,-122.4340374,37.79822883
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,NORTHERN,-122.4329015,37.78132197
1/1/13,BAYVIEW,-122.3962735,37.72098375
1/1/13,SOUTHERN,-122.4027126,37.78325965
1/1/13,TARAVAL,-122.4890508,37.76105709
1/1/13,TARAVAL,-122.4890508,37.76105709
1/1/13,BAYVIEW,-122.390417,37.73559261
1/1/13,CENTRAL,-122.4082871,37.789298
1/1/13,CENTRAL,-122.4082871,37.789298
1/1/13,TARAVAL,-122.506559,37.74005529
1/1/13,SOUTHERN,-122.3984082,37.79037498
1/1/13,RICHMOND,-122.4923416,37.78310329
1/1/13,SOUTHERN,-122.3991315,37.77867594
1/1/13,BAYVIEW,-122.401043,37.73864759
1/1/13,CENTRAL,-122.4083491,37.7966805
1/1/13,SOUTHERN,-122.3895953,37.7798612
1/1/13,SOUTHERN,-122.3895953,37.7798612
1/1/13,SOUTHERN,-122.3895953,37.7798612
1/1/13,SOUTHERN,-122.3895953,37.7798612
1/1/13,INGLESIDE,-122.4352134,37.72392203
1/1/13,TENDERLOIN,-122.4146197,37.78558306
1/1/13,NORTHERN,-122.4234998,37.78780636
1/1/13,NORTHERN,-122.4430783,37.79897886
1/1/13,INGLESIDE,-122.4244675,37.73606048
1/1/13,MISSION,-122.4092161,37.76571589
1/1/13,MISSION,-122.4092161,37.76571589
1/1/13,TENDERLOIN,-122.4129422,37.78543411
1/1/13,TENDERLOIN,-122.4129422,37.78543411
1/1/13,RICHMOND,-122.4848124,37.78061522
1/1/13,INGLESIDE,-122.431295,37.72872979
1/1/13,INGLESIDE,-122.4142811,37.74576042
1/1/13,SOUTHERN,-122.4115411,37.7771969
1/1/13,SOUTHERN,-122.4115411,37.7771969
1/1/13,SOUTHERN,-122.4115411,37.7771969
1/1/13,SOUTHERN,-122.4139456,37.77803287
1/1/13,SOUTHERN,-122.4139456,37.77803287
1/1/13,SOUTHERN,-122.4139456,37.77803287
1/1/13,TARAVAL,-122.4823033,37.72178427
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,NORTHERN,-122.4188582,37.78794997
1/1/13,NORTHERN,-122.4188582,37.78794997
1/1/13,SOUTHERN,-122.4065365,37.77928791
1/1/13,BAYVIEW,-122.3853654,37.73065086
1/1/13,BAYVIEW,-122.3853654,37.73065086
1/1/13,BAYVIEW,-122.3853654,37.73065086
1/1/13,BAYVIEW,-122.3966362,37.75305322
1/1/13,BAYVIEW,-122.3966362,37.75305322
1/1/13,PARK,-122.4535346,37.7691663
1/1/13,BAYVIEW,-122.3913074,37.72097569
1/1/13,NORTHERN,-122.4336415,37.80438984
1/1/13,MISSION,-122.4227011,37.76324271
1/1/13,TENDERLOIN,-122.4122784,37.78631125
1/1/13,RICHMOND,-122.5112938,37.77507333
1/1/13,NORTHERN,-122.4323301,37.8051544
1/1/13,CENTRAL,-122.4074342,37.78749444
1/1/13,SOUTHERN,-122.3957989,37.79111857
1/1/13,TARAVAL,-122.4943675,37.74314414
1/1/13,BAYVIEW,-122.3911785,37.75776995
1/1/13,TARAVAL,-122.4762163,37.75187085
1/1/13,INGLESIDE,-122.4313705,37.72042371
1/1/13,BAYVIEW,-122.3877916,37.72104744
1/1/13,BAYVIEW,-122.3801221,37.7308365
1/1/13,SOUTHERN,-122.4100555,37.7807123
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,CENTRAL,-122.4070696,37.79818476
1/1/13,INGLESIDE,-122.4193484,37.70994916
1/1/13,MISSION,-122.4241797,37.76701482
1/1/13,CENTRAL,-122.4194936,37.80193962
1/1/13,NORTHERN,-122.420364,37.78828179
1/1/13,SOUTHERN,-122.3939837,37.79506077
1/1/13,PARK,-122.4383391,37.76900511
1/1/13,BAYVIEW,-122.3877294,37.73123239
