Category,DayOfWeek,Date,Time,X,Y
WARRANT ARREST,Tuesday,1/1/2013,,-122.3283789,47.55488979
DISTURBANCE,Tuesday,1/1/2013,,-122.3448343,47.71354798
WEAPON,Tuesday,1/1/2013,,-122.3381467,47.61097516
WEAPON,Tuesday,1/1/2013,,-122.3381467,47.61097516
WARRANT ARREST,Tuesday,1/1/2013,,-122.3762185,47.65399222
VEHICLE THEFT,Tuesday,1/1/2013,,-122.373597,47.6530852
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3480357,47.52922283
VEHICLE THEFT,Tuesday,1/1/2013,,-122.282265,47.52786788
DISTURBANCE,Tuesday,1/1/2013,,-122.3592958,47.54653557
WARRANT ARREST,Tuesday,1/1/2013,,-122.3108133,47.61410778
DISTURBANCE,Tuesday,1/1/2013,,-122.3460216,47.70360675
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3340104,47.61064592
BURGLARY,Tuesday,1/1/2013,,-122.3604846,47.52399519
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2680301,47.51985178
NARCOTICS,Tuesday,1/1/2013,,-122.3393581,47.60978173
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3384495,47.60878866
NARCOTICS,Tuesday,1/1/2013,,-122.3382473,47.6102463
NARCOTICS,Tuesday,1/1/2013,,-122.3382473,47.6102463
CAR PROWL,Tuesday,1/1/2013,,-122.3404627,47.61273031
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3820158,47.52878007
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3543917,47.65835124
CAR PROWL,Tuesday,1/1/2013,,-122.318771,47.68087353
CAR PROWL,Tuesday,1/1/2013,,-122.3356834,47.66138576
THREATS,Tuesday,1/1/2013,,-122.33624,47.60469352
THREATS,Tuesday,1/1/2013,,-122.3586874,47.62211557
CAR PROWL,Tuesday,1/1/2013,,-122.360149,47.70873909
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3320656,47.60348178
CAR PROWL,Tuesday,1/1/2013,,-122.2968443,47.55664325
CAR PROWL,Tuesday,1/1/2013,,-122.2968443,47.55664325
ASSAULT,Tuesday,1/1/2013,,-122.3390042,47.53604207
BURGLARY,Tuesday,1/1/2013,,-122.33454,47.60787143
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3256433,47.66134675
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3466378,47.61696696
CAR PROWL,Tuesday,1/1/2013,,-122.3283394,47.60947932
BURGLARY,Tuesday,1/1/2013,,-122.2991394,47.72508386
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3348658,47.6152845
SHOPLIFTING,Tuesday,1/1/2013,,-122.3139102,47.61995898
DISTURBANCE,Tuesday,1/1/2013,,-122.3254008,47.63536954
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3254056,47.62840516
BIKE THEFT,Tuesday,1/1/2013,,-122.322909,47.54294055
SHOPLIFTING,Tuesday,1/1/2013,,-122.3207714,47.61351951
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3341798,47.60172096
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3943651,47.68238442
ROBBERY,Tuesday,1/1/2013,,-122.3384495,47.60878866
WARRANT ARREST,Tuesday,1/1/2013,,-122.3155393,47.61469289
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3179209,47.66494073
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.2959837,47.60260446
CAR PROWL,Tuesday,1/1/2013,,-122.3272973,47.60498268
OTHER PROPERTY,Tuesday,1/1/2013,,0,0
CAR PROWL,Tuesday,1/1/2013,,-122.2900098,47.5868267
BURGLARY,Tuesday,1/1/2013,,-122.3843334,47.50915848
BURGLARY,Tuesday,1/1/2013,,-122.2907132,47.67578315
WARRANT ARREST,Tuesday,1/1/2013,,-122.3366873,47.61021277
ASSAULT,Tuesday,1/1/2013,,-122.2743257,47.69931101
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3037144,47.60952225
BURGLARY,Tuesday,1/1/2013,,-122.3050128,47.69210855
BURGLARY,Tuesday,1/1/2013,,-122.3050128,47.69210855
THREATS,Tuesday,1/1/2013,,-122.3714211,47.54560679
MAIL THEFT,Tuesday,1/1/2013,,-122.2780684,47.52701149
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3393581,47.60978173
THREATS,Tuesday,1/1/2013,,-122.3576624,47.65296432
WARRANT ARREST,Tuesday,1/1/2013,,-122.3428796,47.60981273
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3408737,47.60640698
ROBBERY,Tuesday,1/1/2013,,-122.2729835,47.52612513
CAR PROWL,Tuesday,1/1/2013,,-122.321285,47.61094965
CAR PROWL,Tuesday,1/1/2013,,-122.321285,47.61094965
VEHICLE THEFT,Tuesday,1/1/2013,,-122.322856,47.60684034
ASSAULT,Tuesday,1/1/2013,,-122.3415426,47.61278241
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3083407,47.66396269
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3083407,47.66396269
DISTURBANCE,Tuesday,1/1/2013,,-122.2871981,47.57067832
FRAUD,Tuesday,1/1/2013,,-122.3539097,47.64777061
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3458377,47.68104649
THREATS,Tuesday,1/1/2013,,-122.3628329,47.53735225
OTHER PROPERTY,Tuesday,1/1/2013,,-122.2840517,47.53704015
BURGLARY,Tuesday,1/1/2013,,-122.3551145,47.52195142
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3311241,47.60171757
BURGLARY,Tuesday,1/1/2013,,-122.3707665,47.56842538
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3768538,47.5183834
CAR PROWL,Tuesday,1/1/2013,,-122.3332067,47.68288625
DISTURBANCE,Tuesday,1/1/2013,,-122.3291534,47.61823776
ANIMAL COMPLAINT,Tuesday,1/1/2013,,-122.3907903,47.5747645
BURGLARY,Tuesday,1/1/2013,,-122.2979954,47.71653188
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3234964,47.66133603
CAR PROWL,Tuesday,1/1/2013,,-122.3283912,47.54468726
THREATS,Tuesday,1/1/2013,,-122.3567145,47.62392989
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3083446,47.70394066
TRESPASS,Tuesday,1/1/2013,,-122.3348659,47.6152845
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.316845,47.61468385
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.316845,47.61468385
DISPUTE,Tuesday,1/1/2013,,-122.3056083,47.59747939
THREATS,Tuesday,1/1/2013,,-122.3127767,47.61351218
FRAUD,Tuesday,1/1/2013,,-122.3870127,47.55300093
DISTURBANCE,Tuesday,1/1/2013,,-122.3633122,47.56563337
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3867965,47.59514818
VEHICLE THEFT,Tuesday,1/1/2013,,-122.3856036,47.55118645
CAR PROWL,Tuesday,1/1/2013,,-122.3165105,47.67497945
DISTURBANCE,Tuesday,1/1/2013,,-122.2914948,47.60985098
BURGLARY,Tuesday,1/1/2013,,-122.3234626,47.63898662
CAR PROWL,Tuesday,1/1/2013,,-122.3102781,47.59748647
THREATS,Tuesday,1/1/2013,,-122.3474203,47.61508492
PROPERTY DAMAGE,Tuesday,1/1/2013,,-122.3314781,47.65253652
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3209333,47.62369898
THREATS,Tuesday,1/1/2013,,-122.3474203,47.61508492
BURGLARY,Tuesday,1/1/2013,,-122.3072045,47.66395556
BURGLARY,Tuesday,1/1/2013,,-122.3072045,47.66395556
CAR PROWL,Tuesday,1/1/2013,,-122.3140115,47.72666113
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.3767923,47.52017448
DISTURBANCE,Tuesday,1/1/2013,,-122.3165689,47.60001111
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3278333,47.5437898
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3302674,47.60171492
STOLEN PROPERTY,Tuesday,1/1/2013,,-122.293751,47.53891249
SHOPLIFTING,Tuesday,1/1/2013,,-122.312733,47.61909217
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3165689,47.60001111
BURGLARY,Tuesday,1/1/2013,,-122.33454,47.60787143
BURGLARY-SECURE PARKING-RES,Tuesday,1/1/2013,,-122.3072045,47.66395556
CAR PROWL,Tuesday,1/1/2013,,-122.334195,47.59135394
CAR PROWL,Tuesday,1/1/2013,,-122.32306,47.62313408
CAR PROWL,Tuesday,1/1/2013,,-122.3181058,47.71854354
CAR PROWL,Tuesday,1/1/2013,,-122.3181058,47.71854354
ASSAULT,Tuesday,1/1/2013,,-122.3102322,47.60525437
OTHER PROPERTY,Tuesday,1/1/2013,,-122.3218822,47.65752047
